,section,avg_parking_time
0,招商路(蛇口西段),2956
1,荔园路(蛇口西段),3300
2,四海路,3562
3,金世纪路,3613
4,海月路(东段),3370
5,后海大道辅道(蛇口北段),4003
6,荔园路(蛇口东段),3442
7,创业路(南油段),4091
8,工业九路,3014
9,南新路,3361
10,海德二道（南油段）,3123
11,后海大道辅道(后海段),3731
12,登良路,3171
13,华明路,3611
14,龙城路,3814
15,常兴路,2440
16,学府路(前海段),2957
17,中心路(后海湾段),4472
18,南头街,3638
19,文心一路,4064
20,文心二路,3744
21,创业路(后海湾段),4218
22,海德一道(后海湾段),5583
23,文心四路,2895
24,文心三路,3551
25,文心五路,3059
26,文心六路,4012
27,创业路辅道,3936
28,海德一道,3860
29,海德二道,3927
30,高新南环路,3355
31,海德三道,3696
32,科技南路,2870
33,高新南十一道,3278
34,高新南九道,3843
35,高新南十道,3362
36,科技南一路,3727
37,高新南七道,4256
38,科技南十路,2876
39,科技南十二路,3449
40,高新南五道,3333
41,高新南三道,2682
42,高新南四道,3145
